country,area,e_regionpol
AFG,642045,8
AGO,1249458,4
ALB,28335,1
ARE,71279,3
ARG,2782697,2
ARM,29558,1
AUS,7706187,5
AUT,83911,5
AZE,86403,1
BDI,27207,4
BEL,30632,5
BEN,116582,4
BFA,273685,4
BGD,135651,8
BGR,112421,1
BHR,541,3
BIH,51684,1
BLR,206693,1
BOL,1090274,2
BRA,8499395,2
BRB,389,10
BTN,39877,8
BWA,580623,4
CAF,620985,4
CAN,9872062,5
CHE,41207,5
CHL,737450,2
CHN,9371237,6
CIV,322296,4
CMR,465883,4
COD,2334630,4
COG,346876,4
COL,1139435,2
COM,1586,4
CPV,3585,4
CRI,51513,2
CUB,109298,2
CYP,5708,5
CZE,78482,1
DEU,356167,5
DJI,21704,4
DNK,42417,5
DOM,48590,2
DZA,2322749,3
ECU,255668,2
EGY,1003592,3
ERI,123684,4
ESP,506165,5
EST,45456,1
ETH,1131787,4
FIN,330493,5
FJI,18407,9
FRA,635047,5
GAB,260663,4
GBR,239614,5
GEO,69305,1
GHA,239566,4
GIN,244926,4
GMB,10314,4
GNB,32056,4
GNQ,26644,4
GRC,130165,5
GTM,108481,2
GUY,211948,10
HKG,1029,6
HND,113517,2
HRV,54419,1
HTI,26806,2
HUN,92960,1
IDN,1872166,7
IND,3155818,8
IRL,68698,5
IRN,1622834,3
IRQ,437452,3
ISL,101155,5
ISR,22051,3
ITA,300287,5
JAM,10933,10
JOR,88860,3
JPN,370098,6
KAZ,2712785,1
KEN,594836,4
KGZ,198651,1
KHM,181363,7
KOR,97154,6
KWT,17330,3
LAO,228947,7
LBN,10012,3
LBR,95663,4
LBY,1626502,3
LKA,66043,8
LSO,30028,4
LTU,64520,1
LUX,2612,5
LVA,64262,1
MAR,582423,3
MDA,33117,1
MDG,594600,4
MDV,66,8
MEX,1962277,2
MKD,25364,1
MLI,1258214,4
MMR,662766,7
MNE,13666,1
MNG,1560401,1
MOZ,790679,4
MRT,1038346,4
MUS,1879,4
MWI,119795,4
MYS,327645,7
NAM,824658,4
NER,1185060,4
NGA,911556,4
NIC,129242,2
NLD,37134,5
NOR,384249,5
NPL,147195,8
NZL,266862,5
OMN,312071,3
PAK,873780,8
PAN,74245,2
PER,1296291,2
PHL,290305,7
PNG,464291,9
POL,312552,1
PRK,122494,6
PRT,90759,5
PRY,400907,2
PSE,6333,3
QAT,11074,3
ROU,235769,1
RUS,16879716,1
RWA,25386,4
SAU,1925845,3
SDN,1863052,4
SEN,197329,4
SGP,485,7
SLB,25740,9
SLE,71876,4
SLV,20391,2
SOM,473603,4
SRB,77490,1
SSD,623974,4
STP,986,4
SUR,145575,10
SVK,48338,1
SVN,20194,1
SWE,442974,5
SWZ,16992,4
SYC,174,4
SYR,185971,3
TCD,1271010,4
TGO,57140,4
THA,515730,7
TJK,142293,1
TKM,470629,1
TLS,15021,7
TTO,5102,10
TUN,156658,3
TUR,779822,3
TWN,35998,6
TZA,945787,4
UGA,242555,4
UKR,570154,1
URY,177565,2
USA,9439420,5
UZB,447367,1
VEN,914324,2
VNM,328939,7
VUT,11292,9
YEM,454136,3
ZAF,1221683,4
ZMB,755596,4
ZWE,390184,4
