country,year,records
AFG,1960,1038
AFG,1961,510
AFG,1962,6212
AFG,1963,1385
AFG,1964,2666
AFG,1965,10503
AFG,1966,2649
AFG,1967,2997
AFG,1968,2135
AFG,1969,5946
AFG,1970,7348
AFG,1971,7985
AFG,1972,3066
AFG,1973,2149
AFG,1974,3301
AFG,1975,1504
AFG,1976,1594
AFG,1977,2562
AFG,1978,2003
AFG,1979,1477
AFG,1980,1467
AFG,1981,658
AFG,1982,990
AFG,1983,579
AFG,1984,589
AFG,1985,868
AFG,1986,492
AFG,1987,420
AFG,1988,508
AFG,1989,468
AFG,1990,489
AFG,1991,395
AFG,1992,336
AFG,1993,213
AFG,1994,388
AFG,1995,420
AFG,1996,257
AFG,1997,1600
AFG,1998,237
AFG,1999,498
AFG,2000,317
AFG,2001,162
AFG,2002,97
AFG,2003,638
AFG,2004,243
AFG,2005,253
AFG,2006,187
AFG,2007,629
AFG,2008,589
AFG,2009,515
AFG,2010,939
AFG,2011,1077
AFG,2012,1290
AFG,2013,5956
AFG,2014,3901
AFG,2015,1127
AFG,2016,1429
AFG,2017,1720
AFG,2018,169970
AFG,2019,213
AFG,2020,222
AFG,2021,281
AFG,2022,354
AFG,2023,463
AFG,2024,163
AFG,2025,74
AGO,1960,6609
AGO,1961,2782
AGO,1962,6107
AGO,1963,7791
AGO,1964,5076
AGO,1965,6044
AGO,1966,4565
AGO,1967,3044
AGO,1968,4010
AGO,1969,3729
AGO,1970,7113
AGO,1971,6377
AGO,1972,4897
AGO,1973,4706
AGO,1974,5543
AGO,1975,1566
AGO,1976,198
AGO,1977,315
AGO,1978,74
AGO,1979,66
AGO,1980,97
AGO,1981,276
AGO,1982,172
AGO,1983,194
AGO,1984,169
AGO,1985,118
AGO,1986,42
AGO,1987,39
AGO,1988,272
AGO,1989,339
AGO,1990,132
AGO,1991,55
AGO,1992,290
AGO,1993,130
AGO,1994,135
AGO,1995,133
AGO,1996,3122
AGO,1997,277
AGO,1998,2113
AGO,1999,312
AGO,2000,565
AGO,2001,756
AGO,2002,874
AGO,2003,635
AGO,2004,943
AGO,2005,1251
AGO,2006,666
AGO,2007,2113
AGO,2008,2288
AGO,2009,3517
AGO,2010,956
AGO,2011,2708
AGO,2012,2634
AGO,2013,5148
AGO,2014,2411
AGO,2015,4373
AGO,2016,8027
AGO,2017,15227
AGO,2018,9395
AGO,2019,10047
AGO,2020,3359
AGO,2021,2562
AGO,2022,18775
AGO,2023,24237
AGO,2024,34315
AGO,2025,2573
ALB,1960,103
ALB,1961,95
ALB,1962,10
ALB,1963,19
ALB,1964,28
ALB,1965,8
ALB,1966,5
ALB,1967,16
ALB,1968,8
ALB,1969,53
ALB,1970,39
ALB,1971,38
ALB,1972,23
ALB,1973,319
ALB,1974,3
ALB,1975,22
ALB,1976,197
ALB,1977,9
ALB,1978,10
ALB,1979,60
ALB,1980,59
ALB,1981,14
ALB,1982,217
ALB,1983,30
ALB,1984,44
ALB,1985,13
ALB,1986,44
ALB,1987,54
ALB,1988,46
ALB,1989,151
ALB,1990,43
ALB,1991,71
ALB,1992,16
ALB,1993,620
ALB,1994,937
ALB,1995,420
ALB,1996,1033
ALB,1997,63
ALB,1998,167
ALB,1999,382
ALB,2000,236
ALB,2001,189
ALB,2002,204
ALB,2003,126
ALB,2004,342
ALB,2005,214
ALB,2006,610
ALB,2007,346
ALB,2008,334
ALB,2009,659
ALB,2010,499
ALB,2011,599
ALB,2012,418
ALB,2013,1468
ALB,2014,2250
ALB,2015,1958
ALB,2016,1680
ALB,2017,6971
ALB,2018,5554
ALB,2019,8612
ALB,2020,8617
ALB,2021,11724
ALB,2022,15251
ALB,2023,26781
ALB,2024,34537
ALB,2025,19896
ARE,1960,2
ARE,1961,15
ARE,1962,51
ARE,1963,102
ARE,1964,83
ARE,1965,445
ARE,1966,8
ARE,1967,23
ARE,1968,21
ARE,1969,28
ARE,1970,48
ARE,1971,40
ARE,1972,104
ARE,1973,49
ARE,1974,14
ARE,1975,23
ARE,1976,42
ARE,1977,398
ARE,1978,176
ARE,1979,203
ARE,1980,288
ARE,1981,521
ARE,1982,481
ARE,1983,277
ARE,1984,722
ARE,1985,581
ARE,1986,1960
ARE,1987,984
ARE,1988,1791
ARE,1989,2672
ARE,1990,5145
ARE,1991,1416
ARE,1992,4446
ARE,1993,4039
ARE,1994,3912
ARE,1995,4761
ARE,1996,4733
ARE,1997,4298
ARE,1998,6633
ARE,1999,12588
ARE,2000,20135
ARE,2001,20429
ARE,2002,7777
ARE,2003,8166
ARE,2004,10209
ARE,2005,19168
ARE,2006,49770
ARE,2007,38112
ARE,2008,36966
ARE,2009,47221
ARE,2010,42904
ARE,2011,49446
ARE,2012,76219
ARE,2013,58808
ARE,2014,69546
ARE,2015,68043
ARE,2016,76697
ARE,2017,112292
ARE,2018,134030
ARE,2019,184663
ARE,2020,178736
ARE,2021,167114
ARE,2022,132466
ARE,2023,162965
ARE,2024,133440
ARE,2025,13331
ARG,1960,8565
ARG,1961,21342
ARG,1962,10748
ARG,1963,5374
ARG,1964,8807
ARG,1965,5653
ARG,1966,7010
ARG,1967,7875
ARG,1968,7717
ARG,1969,10450
ARG,1970,10036
ARG,1971,25495
ARG,1972,13078
ARG,1973,14028
ARG,1974,10857
ARG,1975,8111
ARG,1976,8539
ARG,1977,8184
ARG,1978,15217
ARG,1979,12483
ARG,1980,13505
ARG,1981,18332
ARG,1982,13069
ARG,1983,17260
ARG,1984,11469
ARG,1985,8046
ARG,1986,11163
ARG,1987,14229
ARG,1988,12687
ARG,1989,20174
ARG,1990,18499
ARG,1991,14008
ARG,1992,19032
ARG,1993,16064
ARG,1994,25431
ARG,1995,26077
ARG,1996,25605
ARG,1997,30365
ARG,1998,29166
ARG,1999,27559
ARG,2000,29270
ARG,2001,30842
ARG,2002,35790
ARG,2003,115751
ARG,2004,115312
ARG,2005,106365
ARG,2006,68470
ARG,2007,73251
ARG,2008,97103
ARG,2009,95363
ARG,2010,106693
ARG,2011,88616
ARG,2012,170683
ARG,2013,294859
ARG,2014,261329
ARG,2015,425437
ARG,2016,512175
ARG,2017,688381
ARG,2018,1008102
ARG,2019,1315917
ARG,2020,1355750
ARG,2021,1873922
ARG,2022,2252938
ARG,2023,2633027
ARG,2024,2839215
ARG,2025,196965
ARM,1960,1051
ARM,1961,670
ARM,1962,1262
ARM,1963,512
ARM,1964,420
ARM,1965,537
ARM,1966,509
ARM,1967,716
ARM,1968,544
ARM,1969,1394
ARM,1970,624
ARM,1971,398
ARM,1972,716
ARM,1973,768
ARM,1974,1249
ARM,1975,1980
ARM,1976,645
ARM,1977,1287
ARM,1978,547
ARM,1979,860
ARM,1980,429
ARM,1981,544
ARM,1982,1074
ARM,1983,487
ARM,1984,713
ARM,1985,1024
ARM,1986,1590
ARM,1987,851
ARM,1988,519
ARM,1989,1224
ARM,1990,437
ARM,1991,106
ARM,1992,687
ARM,1993,812
ARM,1994,208
ARM,1995,527
ARM,1996,320
ARM,1997,342
ARM,1998,375
ARM,1999,1127
ARM,2000,1319
ARM,2001,887
ARM,2002,8171
ARM,2003,3795
ARM,2004,3388
ARM,2005,8559
ARM,2006,3110
ARM,2007,4264
ARM,2008,3266
ARM,2009,3050
ARM,2010,2530
ARM,2011,3246
ARM,2012,1445
ARM,2013,2967
ARM,2014,3802
ARM,2015,7808
ARM,2016,8402
ARM,2017,9147
ARM,2018,16862
ARM,2019,14008
ARM,2020,1665
ARM,2021,5790
ARM,2022,19338
ARM,2023,33084
ARM,2024,51712
ARM,2025,9565
AUS,1960,117414
AUS,1961,105124
AUS,1962,140441
AUS,1963,156845
AUS,1964,150952
AUS,1965,174620
AUS,1966,193686
AUS,1967,209560
AUS,1968,232946
AUS,1969,222979
AUS,1970,248162
AUS,1971,261303
AUS,1972,280217
AUS,1973,315243
AUS,1974,294559
AUS,1975,341425
AUS,1976,390299
AUS,1977,776233
AUS,1978,829442
AUS,1979,855873
AUS,1980,1029697
AUS,1981,845045
AUS,1982,687233
AUS,1983,737890
AUS,1984,838470
AUS,1985,770091
AUS,1986,813126
AUS,1987,795664
AUS,1988,840348
AUS,1989,766888
AUS,1990,886436
AUS,1991,1092212
AUS,1992,1271051
AUS,1993,1349802
AUS,1994,1149796
AUS,1995,1217780
AUS,1996,1258687
AUS,1997,1366860
AUS,1998,1858839
AUS,1999,3122764
AUS,2000,3026169
AUS,2001,3068180
AUS,2002,2471607
AUS,2003,2070477
AUS,2004,2165563
AUS,2005,2261516
AUS,2006,2164603
AUS,2007,2562765
AUS,2008,3470346
AUS,2009,3094942
AUS,2010,3651745
AUS,2011,5090088
AUS,2012,7607986
AUS,2013,10377135
AUS,2014,11146526
AUS,2015,10251484
AUS,2016,17984169
AUS,2017,22658217
AUS,2018,8499214
AUS,2019,15143683
AUS,2020,15209267
AUS,2021,18219959
AUS,2022,14059368
AUS,2023,14953782
AUS,2024,15116508
AUS,2025,3278546
AUT,1960,43325
AUT,1961,32926
AUT,1962,32923
AUT,1963,41341
AUT,1964,38141
AUT,1965,37501
AUT,1966,31987
AUT,1967,43610
AUT,1968,32229
AUT,1969,34945
AUT,1970,36429
AUT,1971,29717
AUT,1972,44869
AUT,1973,38332
AUT,1974,54169
AUT,1975,50287
AUT,1976,57862
AUT,1977,74459
AUT,1978,58684
AUT,1979,61366
AUT,1980,58566
AUT,1981,65279
AUT,1982,61046
AUT,1983,142007
AUT,1984,97264
AUT,1985,82303
AUT,1986,85368
AUT,1987,199544
AUT,1988,93269
AUT,1989,116161
AUT,1990,95140
AUT,1991,148979
AUT,1992,140985
AUT,1993,267142
AUT,1994,141952
AUT,1995,219532
AUT,1996,194320
AUT,1997,193365
AUT,1998,273097
AUT,1999,617535
AUT,2000,448147
AUT,2001,183266
AUT,2002,211589
AUT,2003,301313
AUT,2004,605371
AUT,2005,448712
AUT,2006,244246
AUT,2007,198319
AUT,2008,226340
AUT,2009,367472
AUT,2010,500080
AUT,2011,265806
AUT,2012,283151
AUT,2013,231166
AUT,2014,214167
AUT,2015,220315
AUT,2016,271208
AUT,2017,275449
AUT,2018,364803
AUT,2019,474893
AUT,2020,695400
AUT,2021,817061
AUT,2022,922368
AUT,2023,1085555
AUT,2024,1348669
AUT,2025,1230930
AZE,1960,334
AZE,1961,288
AZE,1962,478
AZE,1963,438
AZE,1964,296
AZE,1965,154
AZE,1966,480
AZE,1967,602
AZE,1968,642
AZE,1969,571
AZE,1970,790
AZE,1971,774
AZE,1972,268
AZE,1973,510
AZE,1974,770
AZE,1975,343
AZE,1976,525
AZE,1977,947
AZE,1978,291
AZE,1979,278
AZE,1980,254
AZE,1981,236
