country,year,v2x_regime,v2x_polyarchy,v2x_freexp_altinf,v2x_frassoc_thick,v2xcl_dmove,v2xcs_ccsi,v2x_corr,v2x_clphy,e_peaveduc,e_migdppc,conflict_hi,conflict_li
AFG,1960,0,0.082,0.16,0.113,0.26,0.268,0.468,0.362,0.31,4.286,0,0
AFG,1961,0,0.082,0.168,0.113,0.26,0.287,0.468,0.362,0.341,4.296,0,0
AFG,1962,0,0.082,0.168,0.113,0.26,0.287,0.468,0.362,0.372,4.31,0,0
AFG,1963,0,0.086,0.176,0.134,0.26,0.287,0.468,0.377,0.402,4.324,0,0
AFG,1964,0,0.138,0.25,0.205,0.26,0.387,0.468,0.377,0.433,4.334,0,0
AFG,1965,0,0.152,0.283,0.256,0.283,0.429,0.468,0.377,0.464,4.347,0,0
AFG,1966,0,0.163,0.298,0.264,0.283,0.429,0.468,0.377,0.494,4.37,0,0
AFG,1967,0,0.164,0.298,0.278,0.283,0.429,0.468,0.377,0.525,4.38,0,0
AFG,1968,0,0.164,0.298,0.278,0.283,0.383,0.468,0.377,0.556,4.378,0,0
AFG,1969,0,0.163,0.298,0.279,0.283,0.383,0.468,0.377,0.586,4.326,0,0
AFG,1970,0,0.162,0.297,0.281,0.283,0.383,0.468,0.377,0.617,4.247,0,0
AFG,1971,0,0.162,0.297,0.281,0.283,0.383,0.468,0.377,0.664,4.072,0,0
AFG,1972,0,0.157,0.275,0.26,0.283,0.383,0.486,0.341,0.712,3.798,0,0
AFG,1973,0,0.151,0.251,0.199,0.268,0.383,0.528,0.241,0.759,3.704,0,0
AFG,1974,0,0.104,0.151,0.167,0.199,0.319,0.534,0.214,0.807,3.729,0,0
AFG,1975,0,0.104,0.156,0.167,0.199,0.319,0.534,0.214,0.854,3.787,0,0
AFG,1976,0,0.104,0.156,0.167,0.199,0.319,0.534,0.214,0.902,3.835,0,0
AFG,1977,0,0.102,0.161,0.144,0.199,0.303,0.534,0.214,0.949,3.812,0,0
